variable,model,experiment,dataset,dataset_type,product_type,temporal_resolution,interpolation,data_path,origin_path,start_file_exists,final_file_exists,earliest_date,latest_date,script
SDL,None,None,satellite-surface-radiation-budget,observations,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/satellite-surface-radiation-budget/daily/native/SDL,CDS,True,True,197901,202506,scripts/download/satellite-surface-radiation-budget.py
SIS,None,None,satellite-surface-radiation-budget,observations,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/satellite-surface-radiation-budget/daily/native/SIS,CDS,True,True,197901,202506,scripts/download/satellite-surface-radiation-budget.py
SNL,None,None,satellite-surface-radiation-budget,observations,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/satellite-surface-radiation-budget/daily/native/SNL,CDS,True,True,197901,202506,scripts/download/satellite-surface-radiation-budget.py
SNS,None,None,satellite-surface-radiation-budget,observations,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/satellite-surface-radiation-budget/daily/native/SNS,CDS,True,True,197901,202506,scripts/download/satellite-surface-radiation-budget.py
SRB,None,None,satellite-surface-radiation-budget,observations,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/satellite-surface-radiation-budget/daily/native/SRB,CDS,True,True,197901,202506,scripts/download/satellite-surface-radiation-budget.py
