variable,model,experiment,dataset,dataset_type,product_type,temporal_resolution,interpolation,data_path,origin_path,start_file_exists,final_file_exists,earliest_date,latest_date,script
tp,None,None,reanalysis-cerra-land,reanalysis,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/raw/reanalysis-cerra-land/daily/native/tp,CDS,True,True,198408.0,202106.0,scripts/download/reanalysis-cerra-land-single-levels.py
eva,None,None,reanalysis-cerra-land,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/raw/reanalysis-cerra-land/hourly/native/eva,CDS,True,True,198501.0,202109.0,scripts/download/reanalysis-cerra-land-single-levels.py
ssrd,None,None,reanalysis-cerra-land,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/raw/reanalysis-cerra-land/hourly/native/ssrd,CDS,True,False,198501.0,201908.0,scripts/download/reanalysis-cerra-land-single-levels.py
strd,None,None,reanalysis-cerra-land,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/raw/reanalysis-cerra-land/hourly/native/strd,CDS,False,False,,,scripts/download/reanalysis-cerra-land-single-levels.py
