variable,model,experiment,dataset,dataset_type,product_type,temporal_resolution,interpolation,data_path,origin_path,start_file_exists,final_file_exists,earliest_date,latest_date,script
hurs,None,historical,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/derived/derived-era5-single-levels-daily-statistics/daily/native/hurs,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/d2m;/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/t2m,True,True,1940,2024,scripts/derived/derived-era5-single-levels-daily-statistics.py
huss,None,historical,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/derived/derived-era5-single-levels-daily-statistics/daily/native/huss,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/d2m;/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/ps,True,True,1940,2024,scripts/derived/derived-era5-single-levels-daily-statistics.py
t2m,None,historical,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,gr100,/lustre/gmeteo/PTICLIMA/DATA/REANALYSIS/ERA5/data_derived/medcof_1degree/day/t2m,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/t2m,True,True,1940,2024,scripts/interpolation/era5-single-levels-daily-Medcof.py
t2mx,None,historical,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,gr100,/lustre/gmeteo/PTICLIMA/DATA/REANALYSIS/ERA5/data_derived/medcof_1degree/day/t2mx,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/t2mx,True,True,1940,2024,scripts/interpolation/era5-single-levels-daily-Medcof.py
t2mn,None,historical,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,gr100,/lustre/gmeteo/PTICLIMA/DATA/REANALYSIS/ERA5/data_derived/medcof_1degree/day/t2mn,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/t2mn,True,True,1940,2024,scripts/interpolation/era5-single-levels-daily-Medcof.py
tp,None,historical,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,gr100,/lustre/gmeteo/PTICLIMA/DATA/REANALYSIS/ERA5/data_derived/medcof_1degree/day/tp,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/tp,True,True,1940,2024,scripts/interpolation/era5-single-levels-daily-Medcof.py
ssrd,None,historical,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,gr100,/lustre/gmeteo/PTICLIMA/DATA/REANALYSIS/ERA5/data_derived/medcof_1degree/day/ssrd,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/ssrd,True,True,1940,2024,scripts/interpolation/era5-single-levels-daily-Medcof.py
e,None,historical,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,gr100,/lustre/gmeteo/PTICLIMA/DATA/REANALYSIS/ERA5/data_derived/medcof_1degree/day/e,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/e,True,True,1940,2024,scripts/interpolation/era5-single-levels-daily-Medcof.py
hurs,None,historical,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,gr100,/lustre/gmeteo/PTICLIMA/DATA/REANALYSIS/ERA5/data_derived/medcof_1degree/day/hurs,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/derived/derived-era5-single-levels-daily-statistics/daily/native/hurs,True,True,1940,2024,scripts/interpolation/era5-single-levels-daily-Medcof.py
huss,None,historical,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,gr100,/lustre/gmeteo/PTICLIMA/DATA/REANALYSIS/ERA5/data_derived/medcof_1degree/day/huss,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/derived/derived-era5-single-levels-daily-statistics/daily/native/huss,True,True,1940,2024,scripts/interpolation/era5-single-levels-daily-Medcof.py
msl,None,historical,derived-era5-single-levels-daily-statistics,reanalysis,derived,daily,gr100,/lustre/gmeteo/PTICLIMA/DATA/REANALYSIS/ERA5/data_derived/medcof_1degree/day/msl,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/derived-era5-single-levels-daily-statistics/daily/native/msl,True,True,1940,2024,scripts/interpolation/era5-single-levels-daily-Medcof.py
