variable,model,experiment,dataset,dataset_type,product_type,interpolation,data_path,origin_path,start_file_exists,final_file_exists,earliest_date,latest_date
t2m,None,None,reanalysis-cerra-single-levels,reanalysis,raw,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/reanalysis-cerra-single-levels/t2m,CDS,False,False,,
r2,None,None,reanalysis-cerra-single-levels,reanalysis,raw,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/reanalysis-cerra-single-levels/r2,CDS,False,False,,
si10,None,None,reanalysis-cerra-single-levels,reanalysis,raw,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/reanalysis-cerra-single-levels/si10,CDS,False,False,,
ssrd,None,None,reanalysis-cerra-single-levels,reanalysis,raw,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/reanalysis-cerra-single-levels/ssrd,CDS,False,False,,
