variable,model,experiment,dataset,dataset_type,product_type,temporal_resolution,interpolation,data_path,origin_path,start_file_exists,final_file_exists,earliest_date,latest_date,script
tg,None,historical,insitu-gridded-observations-europe,observation,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/insitu-gridded-observations-europe_v33/daily/native/tg,CDS,True,True,,,scripts/download/insitu-gridded-observations-europe.py
tx,None,historical,insitu-gridded-observations-europe,observation,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/insitu-gridded-observations-europe_v33/daily/native/tx,CDS,True,True,,,scripts/download/insitu-gridded-observations-europe.py
tn,None,historical,insitu-gridded-observations-europe,observation,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/insitu-gridded-observations-europe_v33/daily/native/tn,CDS,True,True,,,scripts/download/insitu-gridded-observations-europe.py
fg,None,historical,insitu-gridded-observations-europe,observation,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/insitu-gridded-observations-europe_v33/daily/native/fg,CDS,True,True,,,scripts/download/insitu-gridded-observations-europe.py
rr,None,historical,insitu-gridded-observations-europe,observation,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/insitu-gridded-observations-europe_v33/daily/native/rr,CDS,True,True,,,scripts/download/insitu-gridded-observations-europe.py
qq,None,historical,insitu-gridded-observations-europe,observation,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/insitu-gridded-observations-europe_v33/daily/native/qq,CDS,True,True,,,scripts/download/insitu-gridded-observations-europe.py
