variable,model,experiment,dataset,dataset_type,product_type,temporal_resolution,interpolation,data_path,origin_path,start_file_exists,final_file_exists,earliest_date,latest_date,script
tg,None,None,insitu-gridded-observations-europe,observation,derived,daily,gr012,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/derived/insitu-gridded-observations-europe/daily/gr012/tg,CDS,False,False,,,scripts/download/insitu-gridded-observations-europe.py
tx,None,None,insitu-gridded-observations-europe,observation,derived,daily,gr012,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/derived/insitu-gridded-observations-europe/daily/gr012/tx,CDS,False,False,,,scripts/download/insitu-gridded-observations-europe.py
tn,None,None,insitu-gridded-observations-europe,observation,derived,daily,gr012,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/derived/insitu-gridded-observations-europe/daily/gr012/tn,CDS,False,False,,,scripts/download/insitu-gridded-observations-europe.py
fg,None,None,insitu-gridded-observations-europe,observation,derived,daily,gr012,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/derived/insitu-gridded-observations-europe/daily/gr012/fg,CDS,False,False,,,scripts/download/insitu-gridded-observations-europe.py
rr,None,None,insitu-gridded-observations-europe,observation,derived,daily,gr012,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/derived/insitu-gridded-observations-europe/daily/gr012/rr,CDS,False,False,,,scripts/download/insitu-gridded-observations-europe.py
rsds,None,None,insitu-gridded-observations-europe,observation,derived,daily,gr012,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/derived/insitu-gridded-observations-europe/daily/gr012/rsds,CDS,False,False,,,scripts/download/insitu-gridded-observations-europe.py
pp,None,None,insitu-gridded-observations-europe,observation,derived,daily,gr012,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/derived/insitu-gridded-observations-europe/daily/gr012/pp,CDS,False,False,,,scripts/download/insitu-gridded-observations-europe.py
