variable,model,experiment,dataset,dataset_type,product_type,temporal_resolution,interpolation,data_path,origin_path,start_file_exists,final_file_exists,earliest_date,latest_date,script
tg,None,None,insitu-gridded-observations-europe,observation,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/raw/insitu-gridded-observations-europe/daily/native/tg,CDS,True,True,19502024,19502024,scripts/download/insitu-gridded-observations-europe.py
tx,None,None,insitu-gridded-observations-europe,observation,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/raw/insitu-gridded-observations-europe/daily/native/tx,CDS,True,True,19502024,19502024,scripts/download/insitu-gridded-observations-europe.py
tn,None,None,insitu-gridded-observations-europe,observation,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/raw/insitu-gridded-observations-europe/daily/native/tn,CDS,True,True,19502024,19502024,scripts/download/insitu-gridded-observations-europe.py
fg,None,None,insitu-gridded-observations-europe,observation,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/raw/insitu-gridded-observations-europe/daily/native/fg,CDS,True,True,19502024,19502024,scripts/download/insitu-gridded-observations-europe.py
rr,None,None,insitu-gridded-observations-europe,observation,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/raw/insitu-gridded-observations-europe/daily/native/rr,CDS,True,True,19502024,19502024,scripts/download/insitu-gridded-observations-europe.py
qq,None,None,insitu-gridded-observations-europe,observation,raw,daily,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/ERA5_temp/raw/insitu-gridded-observations-europe/daily/native/qq,CDS,True,True,19502024,19502024,scripts/download/insitu-gridded-observations-europe.py
