variable,model,experiment,dataset,dataset_type,product_type,temporal_resolution,interpolation,data_path,origin_path,start_file_exists,final_file_exists,earliest_date,latest_date,script
sosstsst,None,historical,reanalysis-oras5,reanalysis,raw,monthly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-oras5/monthly/native/sosstsst,CDS,False,False,,,scripts/download/reanalysis-oras5.py
ileadfra,None,historical,reanalysis-oras5,reanalysis,raw,monthly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-oras5/monthly/native/ileadfra,CDS,False,False,,,scripts/download/reanalysis-oras5.py
sosstsst,None,historical,reanalysis-oras5,reanalysis,raw,monthly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-oras5/monthly/native/sosstsst,CDS,False,False,,,scripts/download/reanalysis-oras5.py
ileadfra,None,historical,reanalysis-oras5,reanalysis,raw,monthly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-oras5/monthly/native/ileadfra,CDS,False,False,,,scripts/download/reanalysis-oras5.py
