variable,model,experiment,dataset,dataset_type,product_type,temporal_resolution,interpolation,data_path,origin_path,start_file_exists,final_file_exists,earliest_date,latest_date,script
u10,None,historical,reanalysis-era5-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/u10,CDS,True,True,1940,2024,scripts/download/reanalysis-era5-single-levels.py
v10,None,historical,reanalysis-era5-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/v10,CDS,True,True,1940,2024,scripts/download/reanalysis-era5-single-levels.py
d2m,None,historical,reanalysis-era5-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/d2m,CDS,True,True,1940,2024,scripts/derived/reanalysis-era5-single-levels.py
sp,None,historical,reanalysis-era5-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/sp,CDS,True,True,1940,2024,scripts/derived/reanalysis-era5-single-levels.py
msl,None,historical,reanalysis-era5-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/msl,CDS,True,True,1940,2024,scripts/derived/reanalysis-era5-single-levels.py
t2m,None,historical,reanalysis-era5-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/t2m,CDS,True,True,1940,2024,scripts/derived/reanalysis-era5-single-levels.py
ssr,None,historical,reanalysis-era5-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/ssr,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/ssr,True,True,1940,2024,scripts/download/reanalysis-era5-single-levels.py
str,None,historical,reanalysis-era5-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/str,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/str,False,True,2000,2024,scripts/download/reanalysis-era5-single-levels.py
ssrd,None,historical,reanalysis-era5-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/ssrd,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/ssrd,False,True,2000,2024,scripts/download/reanalysis-era5-single-levels.py
strd,None,historical,reanalysis-era5-single-levels,reanalysis,raw,hourly,native,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/strd,/lustre/gmeteo/WORK/DATA/C3S-CDS/CDS-Curated-Data/raw/reanalysis-era5-single-levels/hourly/native/strd,False,True,2000,2024,scripts/download/reanalysis-era5-single-levels.py
